Month,Category,Theme,Total Users,Sessions,Views
Oct-2024,Nascar,Event,"1,430","1,430","1,430"
Oct-2024,Nascar,Girlfriend,"1,430","1,430","1,716"
Oct-2024,Nascar,Girlfriend,"1,430","1,716","2,002"
Oct-2024,Nascar,Event,858,858,858
Oct-2024,Nascar,Generic,858,858,"1,144"
Oct-2024,Nascar,Event,572,572,572
Oct-2024,Nascar,Wife,572,572,572
Oct-2024,Nascar,Wife,572,572,572
Oct-2024,Nascar,Girlfriend,572,858,572
Oct-2024,Nascar,Net Worth,572,572,572
Oct-2024,Nascar,Girlfriend,305,305,479
Oct-2024,Nascar,Girlfriend,261,261,436
Oct-2024,Nascar,Event Page,218,218,261
Oct-2024,Nascar,Event Page,131,131,131
Oct-2024,Nascar,Wife,131,131,131
Oct-2024,Nascar,Kids,87,87,87
Oct-2024,Nascar,Net Worth,87,87,87
Oct-2024,Nascar,Girlfriend,87,87,131
Oct-2024,Nascar,Girlfriend,87,87,87
Oct-2024,Nascar,Generic,87,131,131
Oct-2024,Nascar,Girlfriend,879,959,"1,239"
Oct-2024,Nascar,Girlfriend,879,919,919
Oct-2024,Nascar,Main Page,520,520,919
Oct-2024,Nascar,Girlfriend,320,320,320
Oct-2024,Nascar,Event Page,280,280,360
Oct-2024,Nascar,Event Page,160,160,160
Oct-2024,Nascar,Event Page,160,160,200
Oct-2024,Nascar,Net Worth,120,120,120
Oct-2024,Nascar,Net Worth,120,120,200
Oct-2024,Nascar,Parents,80,120,80
Oct-2024,Nascar,Girlfriend,554,596,724
Oct-2024,Nascar,Net Worth,441,441,441
Oct-2024,Nascar,Wife,341,341,341
Oct-2024,Nascar,Parents,256,298,341
Oct-2024,Nascar,Net Worth,256,256,298
Oct-2024,Nascar,Family,213,256,256
Oct-2024,Nascar,Family,213,213,213
Oct-2024,Nascar,Girlfriend,213,213,213
Oct-2024,Nascar,Girlfriend,213,213,213
Oct-2024,Nascar,Wife,170,170,213
Nov-2024,Nascar,Girlfriend,"3,272","3,461","4,593"
Nov-2024,Nascar,Girlfriend,446,446,419
Nov-2024,Nascar,Girlfriend,217,217,283
Nov-2024,Nascar,Net Worth,94,94,94
Nov-2024,Nascar,Girlfriend,94,94,126
Nov-2024,Nascar,Kids,63,63,63
Nov-2024,Nascar,Net Worth,63,63,62
Nov-2024,Nascar,Girlfriend,63,63,63
Nov-2024,Nascar,Wife,63,63,63
Nov-2024,Nascar,Girlfriend,63,94,126
Nov-2024,Nascar,Girlfriend,"1,647","1,647","1,647"
Nov-2024,Nascar,Wife,988,988,"1,317"
Nov-2024,Nascar,Net Worth,659,659,659
Nov-2024,Nascar,Net Worth,659,659,659
Nov-2024,Nascar,Net Worth,659,659,659
Nov-2024,Nascar,Wife,659,659,659
Nov-2024,Nascar,Kids,329,329,329
Nov-2024,Nascar,Net Worth,329,329,329
Nov-2024,Nascar,Parents,329,329,329
Nov-2024,Nascar,Kids,329,329,329
Feb-2025,Nascar,Girlfriend,663,663,838
Feb-2025,Nascar,Generic,209,209,209
Feb-2025,Nascar,Wife,140,140,140
Feb-2025,Nascar,Girlfriend,140,140,175
Feb-2025,Nascar,Girlfriend,140,140,140
Feb-2025,Nascar,Parents,105,105,105
Feb-2025,Nascar,Girlfriend,105,105,105
Feb-2025,Nascar,Net Worth,105,105,140
Feb-2025,Nascar,Net Worth,105,105,105
Feb-2025,Nascar,Net Worth,105,105,105
Feb-2025,Nascar,Girlfriend,"2,685","2,860","3,269"
Feb-2025,Nascar,Net Worth,642,700,934
Feb-2025,Nascar,Girlfriend,584,584,642
Feb-2025,Nascar,Net Worth,525,525,759
Feb-2025,Nascar,Net Worth,467,525,584
Feb-2025,Nascar,Generic,467,467,467
Feb-2025,Nascar,Girlfriend,409,467,525
Feb-2025,Nascar,Girlfriend,409,409,467
Feb-2025,Nascar,Net Worth,409,467,584
Feb-2025,Nascar,Net Worth,409,409,409
Mar-2025,Nascar,Girlfriend,304,304,335
Mar-2025,Nascar,Parents,122,122,152
Mar-2025,Nascar,Wife,122,122,152
Mar-2025,Nascar,Net Worth,91,91,152
Mar-2025,Nascar,Net Worth,91,122,152
Mar-2025,Nascar,Generic,91,91,122
Mar-2025,Nascar,House,91,91,122
Mar-2025,Nascar,Kids,91,122,122
Mar-2025,Nascar,Girlfriend,61,91,122
Mar-2025,Nascar,Parents,91,91,91
Mar-2025,Nascar,Wife,593,698,803
Mar-2025,Nascar,Generic ,314,314,314
Mar-2025,Nascar,Event ,279,279,384
Mar-2025,Nascar,Salary ,244,279,279
Mar-2025,Nascar,Event ,175,175,175
Mar-2025,Nascar,Parents,140,140,209
Mar-2025,Nascar,Neworth ,105,105,279
Mar-2025,Nascar,Salary,105,105,140
Mar-2025,Nascar,Networth ,105,105,105
Mar-2025,Nascar,Girlfriend ,70,70,105
Mar-2025,Nascar,Daughter ,70,70,105
Mar-2025,Nascar,Girlfriend ,70,70,105
Mar-2025,Nascar,Parents ,70,70,70
Mar-2025,Nascar,Parents ,70,70,70
Mar-2025,Nascar,Networth ,70,70,70
Mar-2025,Nascar,Generic ,70,70,70
Mar-2025,Nascar,Networth ,70,70,70
Mar-2025,Nascar,Networth ,70,70,70
Mar-2025,Nascar,Girlfriend ,70,70,70
Mar-2025,Nascar,Wife,273,273,364
Mar-2025,Nascar,Networth ,182,182,212
Mar-2025,Nascar,Girlfriend ,182,182,182
Mar-2025,Nascar,Networth ,121,121,273
Mar-2025,Nascar,Event ,121,121,182
Mar-2025,Nascar,Generic ,121,121,182
Mar-2025,Nascar,Generic ,121,121,121
Mar-2025,Nascar,Event ,121,121,121
Mar-2025,Nascar,Salary ,121,121,121
Mar-2025,Nascar,Event ,61,61,91
Mar-2025,Nascar,Wife,61,61,91
Apr-2025,Nascar,Generic ,312,312,375
Apr-2025,Nascar,Event,208,208,271
Apr-2025,Nascar,Event,125,125,187
Apr-2025,Nascar,Networth ,125,146,146
Apr-2025,Nascar,Girlfriend ,83,83,104
Apr-2025,Nascar,Parents ,83,104,104
Apr-2025,Nascar,Kid ,83,83,83
Apr-2025,Nascar,Parents ,62,62,62
Apr-2025,Nascar,Net Worth,62,62,62
Apr-2025,Nascar,Generic,42,42,83
Apr-2025,Nascar,Net Worth,42,42,62
Apr-2025,Nascar,Parents,80,80,100
Apr-2025,Nascar,Girlfriend,80,80,80
Apr-2025,Nascar,Net Worth,80,80,80
Apr-2025,Nascar,Net Worth,80,80,80
Apr-2025,Nascar,Net Worth,80,80,80
Apr-2025,Nascar,Generic,60,60,60
Apr-2025,Nascar,Parents,40,40,60
Apr-2025,Nascar,Girlfriend,40,40,60
Apr-2025,Nascar,Salary,20,20,60
Apr-2025,Nascar,Kids,20,20,60
Apr-2025,Nascar,Girlfriend,100,100,116
Apr-2025,Nascar,Parents,66,66,66
Apr-2025,Nascar,Net Worth,50,50,50
